Base Image,Command,Intermediate Dockerfile Command,Dockerfile URL,Converted Repotag,Step1 convert,Step2 optimizer on,Step3 pull,Step4 create,Step5 start,Step6 remove,Step7 optimizer off,Step8 report
node:lts,npm install,,https://github.com/karthik-k-18/Online-Judge/blob/260054640b43c74b0d02d54483b0d23baa6ccc66/Dockerfile,cloud.cluster.local:5000/node-lts/karthik-k-18-online-judge:starlight,skipped,success,success,success,non-zero exit(1) (0.8 sec),success,success,success
node:lts,npm install,,https://github.com/scarlet2131/NodeAppCICD/blob/f5b3445df85b5135575854079b753610a93d32b0/dockerfile,cloud.cluster.local:5000/node-lts/scarlet2131-nodeappcicd:starlight,skipped,success,success,success,non-zero exit(1) (0.8 sec),success,success,success
node:lts,yarn install && yarn build,,https://github.com/SimDaeSoo/develop-story/blob/fe4a74af41d643d553845f8ba673211fc5ebddff/dockerfile,cloud.cluster.local:5000/node-lts/simdaesoo-develop-story:starlight,skipped,success,success,success,non-zero exit(1) (0.5 sec),success,success,success
node:lts,apt-get update && apt-get install -y openjdk-${JAVA_VERSION}-jdk && rm -rf /var/lib/apt/lists/*,,https://github.com/LuanaFeliciano/ionic-docker/blob/f5c0cf7d85cce1a0cb5610ed972e497adbe0132f/dockerfile,cloud.cluster.local:5000/node-lts/luanafeliciano-ionic-docker:starlight,skipped,success,success,success,non-zero exit(100) (7.3 sec),success,success,success
node:lts,yarn install,,https://github.com/rdrumond33/youtube-tcc-api-typescript/blob/01461bab75724178c39bcaca50d90326af328976/dockerfile,cloud.cluster.local:5000/node-lts/rdrumond33-youtube-tcc-api-typescript:starlight,skipped,success,success,success,success (0.4 sec),success,success,success
node:lts,yarn install,,https://github.com/rdrumond33/CronJob-YoutubeApi/blob/bb053deb8f42131d4d6aea31728af7aa736fa9ac/dockerfile,cloud.cluster.local:5000/node-lts/rdrumond33-cronjob-youtubeapi:starlight,skipped,success,success,success,success (0.4 sec),success,success,success
node:lts,"apt-get update && apt-get install -y wget gnupg2 ca-certificates && wget -q -O - https://dl.google.com/linux/linux_signing_key.pub | apt-key add - && echo ""deb [arch=amd64] http://dl.google.com/linux/chrome/deb/ stable main"" > /etc/apt/sources.list.d/google-chrome.list && apt-get update && apt-get install -y google-chrome-stable && apt-get clean && rm -rf /var/lib/apt/lists/*",,https://github.com/Maysovisk/YuriBot/blob/1230bce3ab4afa15a36f53a498574cf11282124f/dockerfile,cloud.cluster.local:5000/node-lts/maysovisk-yuribot:starlight,skipped,success,success,success,non-zero exit(100) (7.2 sec),success,success,success
node:lts-buster,npm install,,https://github.com/AristotelesAlves/iclinica_back/blob/8c357e2d6175559419b1a9586f51a7009e87e1ce/dockerfile,cloud.cluster.local:5000/node-lts-buster/aristotelesalves-iclinica_back:starlight,skipped,success,success,success,non-zero exit(1) (0.7 sec),success,success,success
node:lts-slim,apt-get update && apt-get install -y openssl && rm -rf /var/lib/apt/lists/*,,https://github.com/adr1enbe4udou1n/nestjs-realworld-example-app/blob/f0fe93dc48c2b500af41f05f369dbba6c1d3aef5/Dockerfile,cloud.cluster.local:5000/node-lts-slim/adr1enbe4udou1n-nestjs-realworld-example-app:starlight,skipped,success,success,success,non-zero exit(100) (7.3 sec),success,success,success
node:lts,npm install,,https://github.com/EldritchGriffin/ft_transcendence_dev/blob/c1411bdd8a44d69b92eda6dcdd1b48149dfc3bdf/dockerfile,cloud.cluster.local:5000/node-lts/eldritchgriffin-ft_transcendence_dev:starlight,skipped,success,success,success,non-zero exit(1) (0.8 sec),success,success,success
node:lts,npm install,,https://github.com/joheee/NetmanFrontend/blob/b02980e66f6c0747c78b7a38b16074c0d539aeb8/dockerfile,cloud.cluster.local:5000/node-lts/joheee-netmanfrontend:starlight,skipped,success,success,success,non-zero exit(1) (0.8 sec),success,success,success
node:lts,npm install pm2 -g,,https://github.com/christianversloot/ts-express-pg-boilerplate/blob/2bee64b132946b5e8025b0610fdd9b5f8a3d911b/dockerfile,cloud.cluster.local:5000/node-lts/christianversloot-ts-express-pg-boilerplate:starlight,skipped,success,success,success,timeout (30.0 sec),success,success,success
node:lts,npm install,,https://github.com/beomjin97/part_manager_server/blob/a34b8fef2727eac34610dc075b8f52e3adaf1b9a/dockerfile,cloud.cluster.local:5000/node-lts/beomjin97-part_manager_server:starlight,skipped,success,success,success,non-zero exit(1) (0.8 sec),success,success,success
node:lts,npm install,,https://github.com/zzfancitizen/ChatBot/blob/89cc735777de35b5c7b6366783ee10223fa96d11/Dockerfile,cloud.cluster.local:5000/node-lts/zzfancitizen-chatbot:starlight,success,success,success,success,non-zero exit(1) (1.1 sec),success,success,success
node:lts,apt-get update && apt-get install -y git,,https://github.com/cuongnjoblogic/market/blob/80a9903b306d8d54ac12284c56efdb87d07bc803/Dockerfile,cloud.cluster.local:5000/node-lts/cuongnjoblogic-market:starlight,skipped,success,success,success,non-zero exit(100) (7.2 sec),success,success,success
node:lts-buster,apt-get update && apt-get install -y ffmpeg imagemagick webp && apt-get upgrade -y && npm i pm2 -g && rm -rf /var/lib/apt/lists/*,,https://github.com/Taliahke/TALIAH-MD/blob/e64c66833ade83e37cb7e12e1a076c45e69f164e/Dockerfile,cloud.cluster.local:5000/node-lts-buster/taliahke-taliah-md:starlight,skipped,success,success,success,non-zero exit(100) (0.2 sec),success,success,success
node:lts,mkdir -p /usr/jetti,,https://github.com/TishchenkoAlex/jetti/blob/68342ba3567fec796cc49dc68269257d1adfa9c4/jetti-api/Dockerfile,cloud.cluster.local:5000/node-lts/tishchenkoalex-jetti:starlight,success,success,success,success,success (0.3 sec),success,success,success
node:lts,yarn install,,https://github.com/almeidajr/EasyMarket/blob/a7b38a3df7d93c5b305fb7b774889793c19353d3/api/Dockerfile,cloud.cluster.local:5000/node-lts/almeidajr-easymarket:starlight,success,success,success,success,success (0.8 sec),success,success,success
node:lts-slim,npm install --only=production,,https://github.com/nozomi-koborinai/same-origin-firebase-hosting/blob/dcfa53e33b3965ebb49d32cfe56412f7777de218/backend/Dockerfile,cloud.cluster.local:5000/node-lts-slim/nozomi-koborinai-same-origin-firebase-hosting:starlight,skipped,success,success,success,non-zero exit(1) (0.8 sec),success,success,success
node:lts-bullseye-slim,npm ci,,https://github.com/tcortega/spear-bot/blob/3409b819acf8788bb6c56e676ee7e70feaa410e2/Dockerfile,cloud.cluster.local:5000/node-lts-bullseye-slim/tcortega-spear-bot:starlight,skipped,success,success,success,non-zero exit(1) (0.8 sec),success,success,success
node:lts-slim,rm -rf node_modules,,https://github.com/Whynot830/whynotpc-svelte/blob/1f35adb8229fabba8822a4f26446d9556a85bd4d/dockerfile,cloud.cluster.local:5000/node-lts-slim/whynot830-whynotpc-svelte:starlight,skipped,success,success,success,success (0.1 sec),success,success,success
node:lts,npm cache clean --force,,https://github.com/jarierca/GameVaultFront/blob/6e83b48bb549fb79d4d1d009f037d6e02b40e547/dockerfile,cloud.cluster.local:5000/node-lts/jarierca-gamevaultfront:starlight,skipped,success,success,success,success (0.7 sec),success,success,success
node:lts,npm install,,https://github.com/VirittamoHelsinki/tyoaikakirjaus/blob/7ead24455cdde9410b1a3b74feba97e1a0ce038b/dockerfile,cloud.cluster.local:5000/node-lts/virittamohelsinki-tyoaikakirjaus:starlight,skipped,success,success,success,non-zero exit(1) (0.8 sec),success,success,success
node:lts-bookworm-slim,apt update && apt install -y curl,,https://github.com/deepakgohil9/JioSaavnDownloader/blob/e789bb2c7a379c4c7504422ea8738f8dd3b62ae4/Dockerfile,cloud.cluster.local:5000/node-lts-bookworm-slim/deepakgohil9-jiosaavndownloader:starlight,skipped,success,success,success,non-zero exit(100) (7.2 sec),success,success,success
node:lts-buster,apt-get update && apt-get install vim -y && npm install -g npm@9.8.1 && groupadd -g 1100 app_user && useradd -m -s /bin/bash -u 1100 -g 1100 app_user,,https://github.com/ToshinoriIzumi/next-sample/blob/dc809f8f81b1d0d49aa64548f3b6f22558fe5ad0/Dockerfile,cloud.cluster.local:5000/node-lts-buster/toshinoriizumi-next-sample:starlight,skipped,success,success,success,non-zero exit(100) (0.3 sec),success,success,success
node:lts-slim,"if [ ! ""$GITHUB_ACTIONS"" ]; then sed -i ""s@deb.debian.org@mirrors.cloud.tencent.com@g"" /etc/apt/sources.list; fi && apt-get update && apt-get upgrade -y && apt-get install -y --no-install-recommends wget vim xz-utils dos2unix ffmpeg curl gnupg git python3 python3-pip fonts-wqy-microhei xfonts-utils chromium fontconfig libxss1 libgl1 build-essential && apt-get autoremove && apt-get clean && rm -rf /var/cache/* && rm -rf /tmp/*",,https://github.com/s1eke/miao-yunzai/blob/fd25e3aa25f562545f9084bf26cfc628f8ae48be/dockerfile,cloud.cluster.local:5000/node-lts-slim/s1eke-miao-yunzai:starlight,skipped,success,success,success,non-zero exit(2) (0.1 sec),success,success,success
node:lts,npm ci,,https://github.com/Tristan-Muggridge/pafin-code-challenge/blob/3957fa1ffa499035a19cebdb7d020c58151df4f7/dockerfile,cloud.cluster.local:5000/node-lts/tristan-muggridge-pafin-code-challenge:starlight,skipped,success,success,success,non-zero exit(1) (0.8 sec),success,success,success
node:lts,npm install,,https://github.com/aiml-au/enterprise-search/blob/5a0c5821bddf9e6ba8bae47164857275a390a843/frontend/Dockerfile,cloud.cluster.local:5000/node-lts/aiml-au-enterprise-search:starlight,success,success,success,failure,,,,
node:lts-buster-slim,apt-get update && apt-get install libssl-dev ca-certificates -y,,https://github.com/ADAOcommunity/adao-poc-nft/blob/4f8162e838f5eda719511276bf3b9eb40137a047/Dockerfile,cloud.cluster.local:5000/node-lts-buster-slim/adaocommunity-adao-poc-nft:starlight,success,success,success,failure,,,,
node:lts,npm install,,https://github.com/StevenMunozTufino/PruebaIframe/blob/fdd48de514e4b5a4ff7e4100321209e9cd3f5040/dockerfile,cloud.cluster.local:5000/node-lts/stevenmunoztufino-pruebaiframe:starlight,success,success,success,success,non-zero exit(1) (1.0 sec),success,success,success
node:lts,apt-get update,,https://github.com/openpracticelibrary/opl-media-service/blob/6b939c7b73397b094f80ecb36d17fb7004a9c627/Dockerfile,cloud.cluster.local:5000/node-lts/openpracticelibrary-opl-media-service:starlight,success,success,success,success,success (7.4 sec),success,success,success
node:lts-slim,npm install,,https://github.com/sahellebusch/unknown-alphabet/blob/f15a3753d21db3e1d9c8249ed3bdf9e8a8786ffd/Dockerfile,cloud.cluster.local:5000/node-lts-slim/sahellebusch-unknown-alphabet:starlight,success,success,success,success,non-zero exit(1) (0.8 sec),success,success,success
node:lts-buster,apt-get update && apt-get install -y build-essential python3 python3-pip libvips-dev,,https://github.com/Totem-gdn/totem-asset-renderer/blob/badb22e2ab2de83f5d51fc5a58a45a844d8ea7f2/Dockerfile,cloud.cluster.local:5000/node-lts-buster/totem-gdn-totem-asset-renderer:starlight,success,success,success,success,non-zero exit(100) (0.4 sec),success,success,success
node:lts,npm install,,https://github.com/chas-academy/07-recipe-app-backend-aminmus/blob/0c1008146bb99ba9e49d2719593bcca857d70565/Dockerfile,cloud.cluster.local:5000/node-lts/chas-academy-07-recipe-app-backend-aminmus:starlight,success,success,success,success,non-zero exit(1) (1.1 sec),success,success,success
node:lts-buster,apt-get update && apt-get install -y ffmpeg imagemagick webp && apt-get upgrade -y && rm -rf /var/lib/apt/lists/*,,https://github.com/DK3MK/RAPHAEL2-BOT/blob/695d0e24e7368811ef289bab3f3c11c5ae06ea72/Dockerfile,cloud.cluster.local:5000/node-lts-buster/dk3mk-raphael2-bot:starlight,success,success,success,success,non-zero exit(100) (0.5 sec),success,success,success
node:lts,npm ci,,https://github.com/aptible/template-express/blob/4ad6d0665f5bf49ea6b04ece04313f754d771868/Dockerfile,cloud.cluster.local:5000/node-lts/aptible-template-express:starlight,success,success,success,success,non-zero exit(1) (1.1 sec),success,success,success
node:lts-buster,apt-get update && apt-get install -y ffmpeg imagemagick webp && apt-get upgrade -y && rm -rf /var/lib/apt/lists/*,,https://github.com/maxbotmd/MAXBOT-MD/blob/a6de849a046b3d7008c9fc2ec8b45c8858d24f1f/Dockerfile.txt,cloud.cluster.local:5000/node-lts-buster/maxbotmd-maxbot-md:starlight,success,success,success,success,non-zero exit(100) (0.4 sec),success,success,success
node:lts-buster-slim,npm i,,https://github.com/sabiqazhar/nest-product-api/blob/2ed915a1e832897ec520304ea3d74f154a3bfa0f/dockerfile,cloud.cluster.local:5000/node-lts-buster-slim/sabiqazhar-nest-product-api:starlight,success,success,success,failure,,,,
node:lts,mkdir -p /usr/src/app && chown -R node:node /usr/src/app,,https://github.com/anudaweerasinghe/NodeBB/blob/0123c5dcdef6b2b552e4f2878f723ed6c3fbd4d4/Dockerfile,cloud.cluster.local:5000/node-lts/anudaweerasinghe-nodebb:starlight,success,success,success,failure,,,,
node:lts-iron,npm install -g pnpm,,https://github.com/iamasink/revanced-web-patcher/blob/008c106fb82a8940239c51124748fbec4839f0e4/Dockerfile,cloud.cluster.local:5000/node-lts-iron/iamasink-revanced-web-patcher:starlight,success,success,success,success,timeout (30.0 sec),success,success,success
node:lts,npm install,,https://github.com/abossard/teams-app-debug/blob/5dc0bc7ac81ae45c7dda5465a41de318a2508da5/Dockerfile,cloud.cluster.local:5000/node-lts/abossard-teams-app-debug:starlight,success,success,success,failure,,,,
node:lts-buster,apt-get update && apt-get install -y ffmpeg imagemagick webp && apt-get upgrade -y && npm i pm2 -g && rm -rf /var/lib/apt/lists/*,,https://github.com/borismulehi/BOBOSKI_MD/blob/6cbbf78282c4d1aa0b421a466c4a1d930004b8d4/Dockerfile,cloud.cluster.local:5000/node-lts-buster/borismulehi-boboski_md:starlight,success,success,success,success,non-zero exit(100) (0.5 sec),success,success,success
node:lts-buster,apt-get update && apt-get install -y ffmpeg imagemagick webp && apt-get upgrade -y && npm i pm2 -g && rm -rf /var/lib/apt/lists/*,,https://github.com/4orty6yx/4ORTY6YX-MD/blob/a391b7656bd174a45f350954eda1a44e41530c6c/Dockerfile,cloud.cluster.local:5000/node-lts-buster/4orty6yx-4orty6yx-md:starlight,success,success,success,success,non-zero exit(100) (0.2 sec),success,success,success
node:lts,apt-get update && apt-get install -y vim && npm install,,https://github.com/rohnjeynolds/docker-nextjs-template/blob/2e8c96653ea1244ee15217719a37b78796bf2a8c/Dockerfile,cloud.cluster.local:5000/node-lts/rohnjeynolds-docker-nextjs-template:starlight,success,success,success,success,non-zero exit(100) (7.3 sec),success,success,success
node:lts-buster,apt update && apt full-upgrade --yes,,https://github.com/IslasGECI/tablero_front/blob/86a51456a1465327387e930e9cae5607cbfc826c/Dockerfile,cloud.cluster.local:5000/node-lts-buster/islasgeci-tablero_front:starlight,success,success,success,failure,,,,
node:lts-slim,apt-get update -qqy && apt-get install -qqy --no-install-recommends gnupg2 wget ca-certificates apt-transport-https && rm -rf /var/lib/apt/lists/* /var/cache/apt/*,,https://github.com/jakejarvis/chrome-headless-docker/blob/c331bb2e33756deabe0609d39ce3f4fc96be6415/Dockerfile,cloud.cluster.local:5000/node-lts-slim/jakejarvis-chrome-headless-docker:starlight,success,success,success,success,non-zero exit(100) (7.2 sec),success,success,success
node:lts,npm install,,https://github.com/koushiksb/student-survey/blob/48aa5ddba539f9bf9f7c69f13d2f857f1eb60024/Dockerfile,cloud.cluster.local:5000/node-lts/koushiksb-student-survey:starlight,success,success,success,success,non-zero exit(1) (1.7 sec),success,success,success
node:lts-bookworm-slim,npm install -g pm2,,https://github.com/Prasadbarde14/presentation-manager-server/blob/9e88b2e2843a88a9f7ec50bfc80861fd81c99a28/dockerfile,cloud.cluster.local:5000/node-lts-bookworm-slim/prasadbarde14-presentation-manager-server:starlight,success,success,success,failure,,,,
node:lts,npm ci && cd frontend && npm ci,,https://github.com/keymanapp/developer.keyman.com/blob/1e3a5124ead75a739bd93d9d4ea7fa0df6a79e69/Dockerfile,cloud.cluster.local:5000/node-lts/keymanapp-developer.keyman.com:starlight,success,success,success,success,non-zero exit(1) (0.8 sec),success,success,success
node:lts-slim,npm install,,https://github.com/Piterden/chessbot/blob/2919d25f3f264e4f5defdf5482eb12b95367ff53/Dockerfile,cloud.cluster.local:5000/node-lts-slim/piterden-chessbot:starlight,success,success,success,success,non-zero exit(1) (0.8 sec),success,success,success
node:lts,npm install,,https://github.com/kaantpll/nestjs-metrics/blob/256d698900cdbe409b9c2f3ac0d06efd0208ecfb/Dockerfile,cloud.cluster.local:5000/node-lts/kaantpll-nestjs-metrics:starlight,success,success,success,success,non-zero exit(1) (1.1 sec),success,success,success
node:lts-slim,npm install,,https://github.com/Eduardoespl/node-sistema-capacitacion/blob/ccf3ea4f884399047b774b1e6c584bb789c4735e/dockerfile,cloud.cluster.local:5000/node-lts-slim/eduardoespl-node-sistema-capacitacion:starlight,success,success,success,success,non-zero exit(1) (0.8 sec),success,success,success
node:lts,yarn install,,https://github.com/crustio/crust-wiki/blob/4de0657f2a1fd9968489d94055bf39c2b85d86bc/Dockerfile,cloud.cluster.local:5000/node-lts/crustio-crust-wiki:starlight,success,success,success,success,success (0.5 sec),success,success,success
node:lts-slim,apt-get update && apt-get install -y --no-install-recommends wait-for-it,,https://github.com/h4nyu/web-app-template/blob/2b43b8d8e5d50399e9c8e3de6b16a9d7e5b0d37b/Dockerfile,cloud.cluster.local:5000/node-lts-slim/h4nyu-web-app-template:starlight,success,success,success,success,non-zero exit(100) (7.2 sec),success,success,success
node:lts,mkdir -p /app,,https://github.com/TheXtn/YouLying/blob/8953e584c1b0721129c7eb7b3e0c330215345145/Dockerfile,cloud.cluster.local:5000/node-lts/thextn-youlying:starlight,success,success,success,success,success (0.2 sec),success,success,success
node:lts-slim,npm ci,,https://github.com/dowjcr/web-frontend/blob/9a18c1d2e5f8e09fa4a3ddd88c8b6cb96da296ff/Dockerfile,cloud.cluster.local:5000/node-lts-slim/dowjcr-web-frontend:starlight,success,success,success,success,non-zero exit(1) (0.8 sec),success,success,success
node:lts,npm install,,https://github.com/MarceloCMiguel/frontend-wealth-managment/blob/c2a7c63374613ed5ddbf7fac10899df36c4d5721/Dockerfile,cloud.cluster.local:5000/node-lts/marcelocmiguel-frontend-wealth-managment:starlight,success,success,success,success,non-zero exit(1) (0.8 sec),success,success,success
node:lts-buster,apt-get update && apt-get install -y ffmpeg imagemagick webp && apt-get upgrade -y && npm i pm2 -g && rm -rf /var/lib/apt/lists/*,,https://github.com/Obeez21/OBEEZ21-MD/blob/12e9a2fc6bc31192bfee0722dc5e87f79a62f69e/Dockerfile,cloud.cluster.local:5000/node-lts-buster/obeez21-obeez21-md:starlight,success,success,success,success,non-zero exit(100) (0.4 sec),success,success,success
node:lts-slim,corepack enable,,https://github.com/tallcode/cwo-web/blob/78a7fc5d4766f971581193b94e91bb4ad653418a/Dockerfile,cloud.cluster.local:5000/node-lts-slim/tallcode-cwo-web:starlight,success,success,success,success,success (0.3 sec),success,success,success
node:lts-slim,npm ci --production,,https://github.com/AIMS-UN/account_ms/blob/23888e2647a31113d114109f67a96a64d2098aac/Dockerfile,cloud.cluster.local:5000/node-lts-slim/aims-un-account_ms:starlight,success,success,success,success,non-zero exit(1) (0.8 sec),success,success,success
node:lts-slim,echo 'Running chmod with perms' $perms,,https://github.com/BwanaFr/photobooth-gallery/blob/45b1c490384ca261accc1fecf7d0adfd27d8332a/Dockerfile,cloud.cluster.local:5000/node-lts-slim/bwanafr-photobooth-gallery:starlight,success,success,success,success,success (0.1 sec),success,success,success
node:lts-buster-slim,npm install,,https://github.com/daasadr/search-bar/blob/ce6d863d323b6061e00d8c6d12fe8b4081b0041b/Dockerfile,cloud.cluster.local:5000/node-lts-buster-slim/daasadr-search-bar:starlight,success,success,success,failure,,,,
node:lts,npm install,,https://github.com/shkilo/halgoraedo-ts/blob/f161c29f9d3072c4f4f064796ea33be903e485ca/Dockerfile,cloud.cluster.local:5000/node-lts/shkilo-halgoraedo-ts:starlight,success,success,success,success,non-zero exit(1) (1.8 sec),success,success,success
node:lts-slim,apt-get update && apt-get install -y git wget curl g++ gcc && rm -rf /var/lib/apt/lists/*,,https://github.com/kimmlee/Containerised_MeSH/blob/eb6017b8441abe98d2e58db16c4d6fe352fee942/dockerfile,cloud.cluster.local:5000/node-lts-slim/kimmlee-containerised_mesh:starlight,success,success,success,success,non-zero exit(100) (7.2 sec),success,success,success
node:lts,npm install,,https://github.com/MuyleangIng/Mini-Project-2-Next-js/blob/183a586dba1acc5907fb0740a1b4d368a8314556/Dockerfile,cloud.cluster.local:5000/node-lts/muyleanging-mini-project-2-next-js:starlight,success,success,success,success,non-zero exit(1) (1.0 sec),success,success,success
node:lts,apt update,,https://github.com/Feuerhamster/tfa-co2-smarthome/blob/747e0a1d1b6a551d26bf212f78bd5153409e25ec/Dockerfile,cloud.cluster.local:5000/node-lts/feuerhamster-tfa-co2-smarthome:starlight,success,success,success,success,success (7.4 sec),success,success,success
node:lts-bullseye,mkdir /usr/src/app,,https://github.com/yeta1990/ft_transcendence/blob/1bcf426704027f2649fb12890fc7d049cd1a1fa8/Dockerfile,cloud.cluster.local:5000/node-lts-bullseye/yeta1990-ft_transcendence:starlight,success,success,success,success,success (26.0 sec),success,success,success
node:lts,npm install,,https://github.com/Vasudhanreddy/chatonline/blob/62e5e29d663810512eb30ee9e6dc5ecaa0793180/Dockerfile,cloud.cluster.local:5000/node-lts/vasudhanreddy-chatonline:starlight,success,success,success,success,non-zero exit(1) (2.5 sec),success,success,success
