Base Image,Command,Intermediate Dockerfile Command,Dockerfile URL,Converted Repotag,Step1 convert,Step2 optimizer on,Step3 pull,Step4 create,Step5 start,Step6 remove,Step7 optimizer off,Step8 report
node:lts,npm i -g @ionic/cli@${IONIC_CLI_VERSION} && ionic --no-interactive config set -g daemon.updates false && ionic --no-interactive config set -g telemetry false,,https://github.com/ionic-team/ionic-cli/blob/fbeac60cdde6f6504900e9c403fa4e79528ca067/Dockerfile,cloud.cluster.local:5000/node-lts/ionic-team-ionic-cli:starlight,skipped,skipped,skipped,success,timeout (30.0 sec),success,success,success
node:lts-bullseye-slim,apt-get update && apt-get install -y --no-install-recommends fonts-liberation libasound2 libatk-bridge2.0-0 libatk1.0-0 libatspi2.0-0 libc6 libcairo2 libcups2 libdbus-1-3 libfreetype6 libgbm1 libharfbuzz0b libnss3 libpango-1.0-0 libx11-6 libxext6 libxkbcommon0 x11-utils xdg-utils zlib1g && rm -rf /var/lib/apt/lists/*,,https://github.com/macbre/phantomas/blob/6b9c6c38fc0696863fa720d06e408ee677fad98b/Dockerfile,cloud.cluster.local:5000/node-lts-bullseye-slim/macbre-phantomas:starlight,skipped,skipped,skipped,success,non-zero exit(100) (0.6 sec),success,success,success
node:lts,npm install,,https://github.com/sullyo/prompt2ui/blob/333875ebfc68212e9d55d9ac430c8254dc75b5fd/dockerfile,cloud.cluster.local:5000/node-lts/sullyo-prompt2ui:starlight,success,success,success,success,non-zero exit(1) (5.8 sec),success,success,success
node:lts-buster,git clone https://github.com/AbhishekSuresh2/X-AsenaDuplicated/ /root/X,,https://github.com/Sachu-fx/Siya-Mol-MD/blob/1dc2d223b7a1efda98040aa571453e9d84749d92/lib/Dockerfile.txt,cloud.cluster.local:5000/node-lts-buster/Sachu-fx-Siya-Mol-MD:starlight,success,success,success,failure,,,,
node:lts,npm ci,,https://github.com/PedroH-Santos/api-gerenciador-financeiro/blob/2fd6e4819ed64f8a7548490f39b13d11c794b701/DockerFile,cloud.cluster.local:5000/node-lts/PedroH-Santos-api-gerenciador-financeiro:starlight,success,success,success,failure,,,,
node:lts-slim,"echo ""@fortawesome:registry=https://npm.fontawesome.com/\\n//npm.fontawesome.com/:_authToken=${FONTAWESOME_TOKEN}"" > ./.npmrc && npm ci && rm -f ./.npmrc",,https://github.com/SwiftFiddle/swiftregex/blob/44fff07c4e32c2a37ae5396ee421cf2b4315491c/Dockerfile,cloud.cluster.local:5000/node-lts-slim/SwiftFiddle-swiftregex:starlight,success,success,success,failure,,,,
node:lts,mkdir -p /home/node-serve,,https://github.com/Yang1998-jiale/node-sever/blob/1b7f91888875bc6f0eedf0f8b59bb59e11a42a39/dockerfile,cloud.cluster.local:5000/node-lts/Yang1998-jiale-node-sever:starlight,success,success,success,failure,,,,
node:lts,npm install,,https://github.com/aldy97/Budget-Planner/blob/b498445e46867fe6fe92ea29ffa369c4bf2d84e5/server/DockerFile,cloud.cluster.local:5000/node-lts/aldy97-Budget-Planner:starlight,success,success,success,failure,,,,
node:lts-iron,npm install,,https://github.com/sgautam2-1/Assignment12/blob/e92f8d7f501cd0907ac86400c8b9933a235f5199/Dockerfile.org,cloud.cluster.local:5000/node-lts-iron/sgautam2-1-Assignment12:starlight,success,success,success,failure,,,,
node:lts,yarn install,,https://github.com/equinor/flowify-workflows-UI/blob/e608877ad561fc63b995bbf8b688a78c5b47799a/Dockerfile,cloud.cluster.local:5000/node-lts/equinor-flowify-workflows-UI:starlight,success,success,success,failure,,,,
